---------------------------------0
Run id: cnnlstmmodel_coursera0
Log directory: /tmp/tflearn_logs/0
Training samples: 100000
Validation samples: 7000
--0
Training Step: 1  | time: 1.216s0
| Adam | epoch: 001 | loss: 0.00000 - acc: 0.0000 -- iter: 00064/100000
| Adam | epoch: 001 | loss: 2.27055 - acc: 0.1125 -- iter: 00128/100000
| Adam | epoch: 001 | loss: 2.48943 - acc: 0.1355 -- iter: 00192/100000
| Adam | epoch: 001 | loss: 2.60897 - acc: 0.1276 -- iter: 00256/100000
| Adam | epoch: 001 | loss: 2.51083 - acc: 0.1042 -- iter: 00320/100000
| Adam | epoch: 001 | loss: 2.51059 - acc: 0.1075 -- iter: 00384/100000
| Adam | epoch: 001 | loss: 2.37699 - acc: 0.1461 -- iter: 00448/100000
| Adam | epoch: 001 | loss: 2.37182 - acc: 0.1430 -- iter: 00512/100000
| Adam | epoch: 001 | loss: 2.36168 - acc: 0.1252 -- iter: 00576/100000
| Adam | epoch: 001 | loss: 2.28082 - acc: 0.1485 -- iter: 00640/100000
| Adam | epoch: 001 | loss: 2.24286 - acc: 0.1300 -- iter: 00704/100000
| Adam | epoch: 001 | loss: 2.23833 - acc: 0.1207 -- iter: 00768/100000
| Adam | epoch: 001 | loss: 2.31689 - acc: 0.1359 -- iter: 00832/100000
| Adam | epoch: 001 | loss: 2.34451 - acc: 0.1379 -- iter: 00896/100000
| Adam | epoch: 001 | loss: 2.38882 - acc: 0.1451 -- iter: 00960/100000
| Adam | epoch: 001 | loss: 2.29465 - acc: 0.1786 -- iter: 01024/100000
| Adam | epoch: 001 | loss: 2.24842 - acc: 0.1761 -- iter: 01088/100000
| Adam | epoch: 001 | loss: 2.13108 - acc: 0.2233 -- iter: 01152/100000
| Adam | epoch: 001 | loss: 2.10697 - acc: 0.2218 -- iter: 01216/100000
| Adam | epoch: 001 | loss: 2.10711 - acc: 0.2610 -- iter: 01280/100000
| Adam | epoch: 001 | loss: 2.08971 - acc: 0.2770 -- iter: 01344/100000
| Adam | epoch: 001 | loss: 2.11606 - acc: 0.2830 -- iter: 01408/100000
| Adam | epoch: 001 | loss: 2.03661 - acc: 0.2915 -- iter: 01472/100000
| Adam | epoch: 001 | loss: 2.10094 - acc: 0.2535 -- iter: 01536/100000
| Adam | epoch: 001 | loss: 2.15335 - acc: 0.2611 -- iter: 01600/100000
| Adam | epoch: 001 | loss: 2.17528 - acc: 0.2374 -- iter: 01664/100000
| Adam | epoch: 001 | loss: 2.18212 - acc: 0.2367 -- iter: 01728/100000
| Adam | epoch: 001 | loss: 2.18925 - acc: 0.2400 -- iter: 01792/100000
| Adam | epoch: 001 | loss: 2.19802 - acc: 0.2386 -- iter: 01856/100000
| Adam | epoch: 001 | loss: 2.17411 - acc: 0.2672 -- iter: 01920/100000
| Adam | epoch: 001 | loss: 2.17688 - acc: 0.2705 -- iter: 01984/100000
| Adam | epoch: 001 | loss: 2.14176 - acc: 0.2729 -- iter: 02048/100000
| Adam | epoch: 001 | loss: 2.12604 - acc: 0.2782 -- iter: 02112/100000
| Adam | epoch: 001 | loss: 2.11790 - acc: 0.2721 -- iter: 02176/100000
| Adam | epoch: 001 | loss: 2.10836 - acc: 0.2675 -- iter: 02240/100000
| Adam | epoch: 001 | loss: 2.06212 - acc: 0.2639 -- iter: 02304/100000
| Adam | epoch: 001 | loss: 2.04386 - acc: 0.2674 -- iter: 02368/100000
| Adam | epoch: 001 | loss: 2.00583 - acc: 0.2732 -- iter: 02432/100000
| Adam | epoch: 001 | loss: 2.02024 - acc: 0.2747 -- iter: 02496/100000
| Adam | epoch: 001 | loss: 2.07614 - acc: 0.2701 -- iter: 02560/100000
| Adam | epoch: 001 | loss: 2.05750 - acc: 0.2807 -- iter: 02624/100000
| Adam | epoch: 001 | loss: 2.07299 - acc: 0.2724 -- iter: 02688/100000
| Adam | epoch: 001 | loss: 2.06370 - acc: 0.2960 -- iter: 02752/100000
| Adam | epoch: 001 | loss: 2.03822 - acc: 0.2989 -- iter: 02816/100000
| Adam | epoch: 001 | loss: 2.03582 - acc: 0.2959 -- iter: 02880/100000
| Adam | epoch: 001 | loss: 2.05541 - acc: 0.2856 -- iter: 02944/100000
| Adam | epoch: 001 | loss: 2.07950 - acc: 0.2670 -- iter: 03008/100000
| Adam | epoch: 001 | loss: 2.11206 - acc: 0.2542 -- iter: 03072/100000
| Adam | epoch: 001 | loss: 2.09257 - acc: 0.2659 -- iter: 03136/100000
| Adam | epoch: 001 | loss: 2.07991 - acc: 0.2804 -- iter: 03200/100000
| Adam | epoch: 001 | loss: 2.09611 - acc: 0.2925 -- iter: 03264/100000
| Adam | epoch: 001 | loss: 2.08398 - acc: 0.2908 -- iter: 03328/100000
| Adam | epoch: 001 | loss: 2.07478 - acc: 0.2848 -- iter: 03392/100000
| Adam | epoch: 001 | loss: 2.05432 - acc: 0.2820 -- iter: 03456/100000
| Adam | epoch: 001 | loss: 2.03965 - acc: 0.3042 -- iter: 03520/100000
| Adam | epoch: 001 | loss: 2.05667 - acc: 0.2988 -- iter: 03584/100000
| Adam | epoch: 001 | loss: 2.04644 - acc: 0.3050 -- iter: 03648/100000
| Adam | epoch: 001 | loss: 2.04563 - acc: 0.3018 -- iter: 03712/100000
